method,fold,fwd_horizon,n,utility_mean,utility_sum,ic,ic_tstat,hit_rate,coverage,cost_bps,train_start,train_end,test_start,test_end
ridge_linear,2,6,975,-0.0007663570830827481,-0.7471981560056794,0.10442117881473649,1.9140390908235252,0.48899188876013905,0.8851282051282051,10.0,2002-03-04,2011-03-14,2011-03-23,2018-06-14
isotonic_calibrated,2,6,975,-0.0022462835613333036,-2.190126472299971,-0.08645531102072435,-1.625223529897607,0.4646153846153846,1.0,10.0,2002-03-04,2011-03-14,2011-03-23,2018-06-14
topsis_category,2,6,975,0.00026810374479525683,0.26140115117537543,0.032475925263927785,0.6088276665545933,0.5110876451953538,0.9712820512820513,10.0,2002-03-04,2011-03-14,2011-03-23,2018-06-14
topsis_action,2,6,975,0.0013434170309997904,1.3098316052247956,0.13237093685888268,2.242407772246627,0.5589225589225589,0.6092307692307692,10.0,2002-03-04,2011-03-14,2011-03-23,2018-06-14
ahp_topsis_prior,2,6,975,0.00026810374479525683,0.26140115117537543,0.03123441402018968,0.5852738282224023,0.5110876451953538,0.9712820512820513,10.0,2002-03-04,2011-03-14,2011-03-23,2018-06-14
baseline_fixed,3,6,1897,0.001248466638139598,2.3683412125508174,0.059774464940091,1.4996212242926863,0.5181462869905081,0.9441222983658408,10.0,2002-03-04,2018-06-06,2018-06-18,2022-05-27
threshold_optimized,3,6,1897,-0.0008715395456351842,-1.6533105180699446,0.059774464940091,1.4996212242926863,0.5125628140703518,0.8392198207696363,10.0,2002-03-04,2018-06-06,2018-06-18,2022-05-27
ridge_linear,3,6,1897,-0.0018214799127536372,-3.45534739449365,0.005333294688399132,0.13923588497886416,0.504930966469428,0.8017923036373221,10.0,2002-03-04,2018-06-06,2018-06-18,2022-05-27
isotonic_calibrated,3,6,1897,-0.0008715395456351842,-1.6533105180699446,0.055050456596905224,1.4434356977225826,0.5125628140703518,0.8392198207696363,10.0,2002-03-04,2018-06-06,2018-06-18,2022-05-27
topsis_category,3,6,1897,-0.001742533599579026,-3.3055862384014123,0.04250939417638584,1.0470401044525957,0.5040369088811996,0.9140748550342647,10.0,2002-03-04,2018-06-06,2018-06-18,2022-05-27
topsis_action,3,6,1897,0.0006303206195458976,1.1957182152785677,0.05073196986555949,1.3021530936899242,0.5246853823814134,0.5445440168687401,10.0,2002-03-04,2018-06-06,2018-06-18,2022-05-27
ahp_topsis_prior,3,6,1897,-0.0016894947294640939,-3.204971501793386,0.03672968186286568,0.9126464102709901,0.5040462427745664,0.9119662625197681,10.0,2002-03-04,2018-06-06,2018-06-18,2022-05-27
baseline_fixed,4,6,11745,0.0033862735963081274,39.77178338863896,0.038549901594347125,2.778527457349304,0.4946586158848119,0.9165602383993189,10.0,2002-03-04,2022-05-19,2022-05-30,2026-04-28
threshold_optimized,4,6,11745,0.005027067886270374,59.042912324245535,0.038549901594347125,2.778527457349304,0.5025882352941177,0.5427841634738186,10.0,2002-03-04,2022-05-19,2022-05-30,2026-04-28
ridge_linear,4,6,11745,0.0037610805854761398,44.17389147641726,0.020378611633929976,1.6457014802085244,0.49183698149715804,0.7040442741592167,10.0,2002-03-04,2022-05-19,2022-05-30,2026-04-28
isotonic_calibrated,4,6,11745,0.005027067886270374,59.042912324245535,0.03534635553889162,2.5785540957179744,0.5025882352941177,0.5427841634738186,10.0,2002-03-04,2022-05-19,2022-05-30,2026-04-28
topsis_category,4,6,11745,0.003623042110978251,42.552629593439555,0.019045266309135438,1.3616058317378024,0.4843872999212805,0.6489570029799915,10.0,2002-03-04,2022-05-19,2022-05-30,2026-04-28
topsis_action,4,6,11745,0.003966721266233606,46.589141271913704,0.03181256289936248,2.3698406625623347,0.49712643678160917,0.5037037037037037,10.0,2002-03-04,2022-05-19,2022-05-30,2026-04-28
ahp_topsis_prior,4,6,11745,0.0013893003670645333,16.317332811172943,0.022999404905579304,1.6449256684254911,0.48356164383561645,0.9944657300979141,10.0,2002-03-04,2022-05-19,2022-05-30,2026-04-28
baseline_fixed,0,10,1085,0.00648266997776403,7.033696925873973,-0.054292278723152884,-0.8288645460680284,0.5157790927021696,0.9345622119815669,10.0,2002-03-04,2002-09-30,2002-10-18,2007-04-24
threshold_optimized,0,10,1085,0.013645410136267428,14.805269997850159,-0.054292278723152884,-0.8288645460680284,0.5915354330708661,0.936405529953917,10.0,2002-03-04,2002-09-30,2002-10-18,2007-04-24
ridge_linear,0,10,1085,-0.007960889451939164,-8.637565055353992,0.02389609390207142,0.38734132584214437,0.4209039548022599,0.9788018433179724,10.0,2002-03-04,2002-09-30,2002-10-18,2007-04-24
isotonic_calibrated,0,10,1085,-0.018030681024102605,-19.563288911151325,,,0.3511520737327189,1.0,10.0,2002-03-04,2002-09-30,2002-10-18,2007-04-24
topsis_category,0,10,1085,-0.008176180026525672,-8.871155328780354,0.027876549485443457,0.4575044343862348,0.4221198156682028,1.0,10.0,2002-03-04,2002-09-30,2002-10-18,2007-04-24
